Portfolio_ID,US_Equity,International,Emerging_Markets,Bonds,Real_Estate,Expected_Return_Annual,Volatility_Annual,VaR_95_5Year,VaR_95_Annual,Prob_Exceed_60pct,Mean_Return,Std_Dev_Return,Min_Return,Max_Return,P1,P5,P10,P25,P50,P75,P90,P95,P99
152,0.400577816751304,0.07714958969903896,0.10584278259664041,0.2420020033412158,0.17442780761180077,0.08576175758207433,0.1291662904455891,0.5253709889985596,0.08811574972472469,0.0,0.5351931266071254,0.005730822819788888,0.5166364163916757,0.5556906402345223,0.5221954922529116,0.5253709889985596,0.5280117560089906,0.5313328521659859,0.5354804558447281,0.5389801873297924,0.5424464102334936,0.544513244503182,0.5474919570427059
153,0.08100628871167946,0.0995131396773685,0.4945184571061738,0.23759969593554287,0.08736241856923521,0.0924810379976717,0.17561407585502548,0.5704890908852975,0.09447787026554866,0.1,0.5874220464155848,0.01027370134663622,0.5532682691586415,0.62586268017251,0.5636456245271323,0.5704890908852975,0.5739130181842679,0.580619130867613,0.58792309245184,0.594350286211642,0.5999844800824562,0.6039375306745663,0.6117545976085299
154,0.16697721754409614,0.1683821122471366,0.094137002760584,0.06172357843644383,0.5087800890117394,0.09124563621481557,0.14969839277267227,0.567926901728424,0.0941205177496478,0.0,0.578139812982828,0.00642303338543637,0.5599472530877447,0.5969934722335299,0.5637937238530621,0.567926901728424,0.5699147180124445,0.5736844863327826,0.5780203075060056,0.5824320557499119,0.5864353810960743,0.5892904569814479,0.5933410809363651
155,0.015113005710532474,0.6747766355992975,0.029391847593542134,0.08744097158910168,0.19327753950752616,0.08695108252543429,0.16434690027371765,0.532809960273405,0.08917499600548906,0.0,0.544430488385452,0.007087418950759967,0.524901560631422,0.567736613850879,0.5276589108930482,0.532809960273405,0.5352775832209788,0.5396881213235067,0.5443068048539212,0.5490718146613556,0.5536620830508939,0.5561633035744913,0.5612656325505083
156,0.12377259785467655,0.07898726170493336,0.17236119387484675,0.5510109574003268,0.07386798916521646,0.07075126274240322,0.0920582206567902,0.41808458186341635,0.07235955801431615,0.0,0.4245281434415135,0.004199947667568776,0.4118781977700685,0.4378197013492531,0.41600352161399606,0.41808458186341635,0.4191632711943685,0.42144543026866604,0.4242745461420462,0.4274804262032614,0.4302643460576251,0.4314567865267134,0.4340684411220157
157,0.5175476740798497,0.05897522297213313,0.29032632643308065,0.09245857748336003,0.04069219903157644,0.09827299891487432,0.1762123007877835,0.6204024118114471,0.1013480220895433,1.0,0.6343798690459049,0.008761989210685033,0.6057439553877435,0.6652259518095922,0.6142021210970074,0.6204024118114471,0.6229833847420034,0.6289533611382156,0.634131580543763,0.640467863345851,0.645514036717564,0.6486443305229966,0.6545074301076393
158,0.30088280984584614,0.07041705391336994,0.16139662162684718,0.126880179047348,0.3404233355665889,0.09133413558199899,0.14633239165199763,0.5681940430158574,0.09415779816696812,0.0,0.5787963039665981,0.0065483198978833574,0.5579513310672974,0.5985986934390084,0.5639142636472736,0.5681940430158574,0.5704490227557153,0.5742992588117319,0.5787649365461847,0.5831580544002125,0.5873098134077326,0.5900705739393094,0.594153684020863
159,0.06337101302429793,0.16899014246212135,0.15822653199922576,0.5382995060860617,0.07111280642829322,0.07036589565635083,0.09484553769564973,0.4147636589513404,0.07185682861598908,0.0,0.42174346908294114,0.004410737582291027,0.40758703592666223,0.43535839797511855,0.41076673830768873,0.4147636589513404,0.41616976601950295,0.4188046176687924,0.4216727150360414,0.4247907042013735,0.42754529312205686,0.42908565477529936,0.431225868200474
160,0.42452578860873635,0.14925634810662158,0.2515435014933675,0.044251453558728907,0.1304229082325455,0.09854253001327874,0.17689198173727422,0.6225499849591054,0.10163979807465173,1.0,0.6368842174202111,0.009037268788231937,0.6114426992179727,0.6668644347982271,0.6155156447600492,0.6225499849591054,0.6260740621157913,0.6307294385405173,0.6365170492226592,0.6427115095530245,0.6483080784290488,0.6525322983125857,0.657640905561401
161,0.16086065260708143,0.10295417083367445,0.09484495491422389,0.5272041245808953,0.11413609706412488,0.0702555447927861,0.08648182529804958,0.41503438924399005,0.07189784775040908,0.0,0.4207409485191764,0.003584130644700368,0.4076747426027081,0.4318807953840813,0.41210020973924366,0.41503438924399005,0.4163249408254465,0.41836187621822224,0.4206963066203371,0.42315264732017366,0.42512977211629205,0.4265871470556225,0.4291436039040405
162,0.1638687245510918,0.10406137471925134,0.4008860571060822,0.2480428816916898,0.083140961931885,0.09049890899703694,0.16218013072581997,0.5579537245525656,0.09272507932782315,0.002,0.5725127015903134,0.00906190352847109,0.545667999723719,0.6011073050413553,0.551958683454075,0.5579537245525656,0.5608135878986955,0.5665570617021736,0.5722554381150747,0.5787027612826792,0.5838390535391512,0.5868654172374663,0.5956654853074566
163,0.2513063012366269,0.1356928244922585,0.16927899152764317,0.0723980032055276,0.3713238795379439,0.09348712765630862,0.1556385099572352,0.5841823834707558,0.09637982655969846,0.276,0.5960606693135445,0.007132084281741111,0.5753051089010737,0.6227859501193074,0.5790330900892313,0.5841823834707558,0.587120517258547,0.5914918302200525,0.5958587985270389,0.6004548720603968,0.6056697439169211,0.6079971346035901,0.6127149395586994
164,0.018886582586437644,0.054198257437769216,0.32278791864795203,0.20462311279750084,0.3995041285303401,0.08905052371617564,0.14939805411167326,0.548732103221749,0.09142842466445766,0.0,0.5610184109555509,0.007433100540909514,0.5389945063483867,0.5821441005786334,0.5437690295248769,0.548732103221749,0.5514486226214272,0.5560632378842241,0.5608096364241456,0.5660387442031446,0.5707515274955437,0.5738458019272664,0.5776899767080864
165,0.27383526642023653,0.3834263344161403,0.08388603091753323,0.06917492024729166,0.18967744799879813,0.09172263202601255,0.1605285092178655,0.5707815842185753,0.09451863509942537,0.007,0.5819831890892799,0.007110543020439721,0.5615831620812874,0.604290975671927,0.5655260586673506,0.5707815842185753,0.5729662168677357,0.5771618778276146,0.581966082867543,0.5869950363056995,0.5910884864649509,0.5937572552868056,0.5969930638264002
166,0.27708624910325974,0.328027716449275,0.27587240467392954,0.10560953037160817,0.013404099401927468,0.09491524374115846,0.17927637178218986,0.5921814110562964,0.09748478936183469,0.774,0.6071451407443764,0.009461807472470747,0.570344914003271,0.6384709622005853,0.5844686171552819,0.5921814110562964,0.5949658979695734,0.6006890528400413,0.6071847375704518,0.6134015748879609,0.6191067094009713,0.6228316188128755,0.6295596745577988
167,0.38065787593552863,0.3689191869278019,0.07978198623364526,0.0880816483340799,0.08255930256894434,0.09183745424016283,0.16176591985301236,0.5703667788492921,0.09446082182019766,0.01,0.5829902678359165,0.007440307923250046,0.5616516153548832,0.6084316184284031,0.5657805281683141,0.5703667788492921,0.5731682346631695,0.5781712741933026,0.5829375737271089,0.5879250078965567,0.5922210333175258,0.5951691232647861,0.599498910594523
168,0.30559840029482016,0.08982477844755545,0.11816085260502115,0.0644106537849714,0.4220053148676318,0.09311152589775001,0.15133489561742366,0.5819573598753194,0.09607167483622181,0.133,0.5930103598319112,0.006572814177859832,0.5747056808051947,0.6164515239648736,0.5786152311816,0.5819573598753194,0.5846090449543899,0.5886106060705878,0.5930582441065398,0.5974847563665171,0.6008557946496856,0.6037257327095351,0.6084561443591282
169,0.3275564647597671,0.046402857492389454,0.01663971016031618,0.14722985840407313,0.4621711091834541,0.08706621377342227,0.13160526050976357,0.537302018201988,0.08981263694152108,0.0,0.5454720029522397,0.004979890654246728,0.5314340716972115,0.5600526696821655,0.5341793444076007,0.537302018201988,0.5389119910119216,0.5420631631810606,0.54554260680613,0.5487504729588488,0.5519569090491362,0.5540432455835284,0.5568262187670309
170,0.027258489709445152,0.3586140216146602,0.030542252358351292,0.568568171928719,0.015017064388824442,0.06545057346926089,0.08666325564219894,0.38176266277466797,0.06680904850004388,0.0,0.3872180536172481,0.0033216210064094106,0.37814093996197706,0.3999170037638571,0.3794838824069526,0.38176266277466797,0.38266437060331054,0.3849769248854432,0.38726012261215714,0.3895474711657963,0.3914952604695129,0.39254787365473987,0.394580242518898
171,0.10312883582833723,0.29883747760535584,0.07376175919734791,0.13343279918938827,0.39083912817957056,0.08687085637469458,0.14157138481400347,0.5340356540091186,0.08934912955155627,0.0,0.5438451527854719,0.005930803489408399,0.5255576917352236,0.5605591930279663,0.5306120043824133,0.5340356540091186,0.5361130240954777,0.5398755580876577,0.5437226845625132,0.5478375794823831,0.5514696629012988,0.5538458600198991,0.5572664726983277
172,0.40078172341638735,0.023045616549593726,0.32203965737425116,0.047328155363998585,0.20680484729576917,0.09992904167714023,0.17771877825136437,0.6332258177283293,0.10308568150971276,1.0,0.6475037423915941,0.00902360219325733,0.6173148643923321,0.6740424932461013,0.6268997170165326,0.6332258177283293,0.6359526355869717,0.6410539452738001,0.6473701731258572,0.6533641860376738,0.6592539270977654,0.6626954475914724,0.668952202919919
173,0.05050791049027517,0.38467476751437985,0.018599981265167084,0.18471532238292238,0.36150201834725565,0.08265788912930042,0.13277296059162172,0.502743943415913,0.08486824508673818,0.0,0.5116850804263658,0.005442440673537487,0.4962643610798292,0.5309121927124365,0.4997718456213201,0.502743943415913,0.5044554472857002,0.5078584679605131,0.5116422672669967,0.5154332398168098,0.5185225913007094,0.5206782145172493,0.5243584225660857
174,0.21113547203752422,0.26291732771097526,0.08223589279624376,0.2700703894563269,0.17364091799892986,0.08201408451474662,0.1254359069095881,0.49781572931239476,0.08415574975016638,0.0,0.5066156376846798,0.005161917053113057,0.4888986020101014,0.5240849022872072,0.4943394479284534,0.49781572931239476,0.5000750193205286,0.5031610500285654,0.5066692990664318,0.510209297907901,0.512980852412878,0.5150106635341712,0.5189909610524048
175,0.16099271480679675,0.2391878387575819,0.2261437261220911,0.29870021194983204,0.0749755083636983,0.08382201076337781,0.13830727244874955,0.5091646793101632,0.08579372253135653,0.0,0.5203607218206194,0.00696955428359875,0.493460491221118,0.5433915323551384,0.5040451275654735,0.5091646793101632,0.5116043831364637,0.5155309763053086,0.5200414867207068,0.5250968626249448,0.529534945587662,0.5318304741826974,0.5360468490157476
176,0.2593598257540774,0.20100592282293622,0.24423253110252768,0.19022745860210893,0.10517426171834982,0.09013917589800907,0.15453723828417038,0.556641904814081,0.0925409992301438,0.0,0.5688364862645322,0.007731527683608169,0.5452594430927213,0.5927946922508631,0.5511639241199853,0.556641904814081,0.5589989392243633,0.5636892451529741,0.5685908741958958,0.5740769704213544,0.5790578187076232,0.5815175614467802,0.5869678373152415
177,0.06737726662280484,0.48835387615003417,0.2610593442076374,0.06390115301137611,0.11930836000814742,0.09432470438590707,0.18514405920924928,0.5866102508803338,0.09671567609071174,0.575,0.6018594049006061,0.009597242981024092,0.5673369049085106,0.6305511257964629,0.5799935951534035,0.5866102508803338,0.5899610685042442,0.5953566712065753,0.6017069836811924,0.6081128060192504,0.6142650481533006,0.6174141468073594,0.6247335309434151
178,0.021319280381567402,0.36241333462428094,0.39460311925395963,0.15985488189164257,0.06180938384854945,0.09288480110004074,0.18415976202285023,0.5736946797447745,0.09492430253926365,0.192,0.5911624172844072,0.01002468223842573,0.558737376029304,0.6176483723703723,0.5664607392768035,0.5736946797447745,0.5778125727566082,0.5847450757056989,0.5915423533489605,0.5977372556267341,0.6035610198922707,0.6081065590116203,0.6140809338287077
179,0.5791320263735505,0.056698857408080984,0.2253036988929728,0.12574318738438092,0.013122229941014571,0.09576546930376267,0.1667260909914381,0.6011396083907269,0.09871698984212762,0.964,0.6141105821287743,0.00810967746120867,0.5884165744673542,0.6381722376472729,0.5968014374068387,0.6011396083907269,0.6038377864336251,0.6084073940231147,0.6138129918081096,0.6198480922276318,0.624638918759164,0.6278614686291035,0.6322885943695236
